"regime","tasks","algo","repeat","makespanAnalytic","makespanSim","doi","utilization","bestFitness","schedulerMs"
"large","200","ACO","5","74.13033333333334","8.296398353368667E9","1.207483898816342","0.6605496737727695","52.05344262614232","360"
"large","200","RR","5","113.29750000000001","8.296398353368667E9","1.72648741289487","0.4452671947748184","79.56099421221231","0"
"large","200","IWHOLF","6","81.77359999999999","4.70391976528613E10","1.70290759486536","0.5872309237537137","57.45049610261714","281"
"large","200","WHO","6","88.53979999999999","4.70391976528613E10","1.8164761984969413","0.5505164344170644","62.203528879599716","94"
"large","200","WOA","6","114.80450000000002","4.70391976528613E10","1.7372584928277095","0.45735244117898977","80.61280719228769","109"
"large","200","PSO","6","68.301","4.70391976528613E10","1.0771781074615583","0.7187619507767089","47.94893032014006","31"
"large","200","ACO","6","114.80450000000002","4.70391976528613E10","1.7372584928277095","0.45735244117898977","80.61280719228769","410"
"large","200","RR","6","115.95949999999999","4.70391976528613E10","1.703152354298894","0.4637145943195686","81.41769323941905","0"
"large","200","IWHOLF","7","93.5705","1.1370855693561E10","1.4271512432549833","0.5798766794377859","65.6967445583314","331"
"large","200","WHO","7","82.62549999999999","1.1370855693561E10","1.5447303288741348","0.6473621843942448","58.02087786112542","93"
"large","200","WOA","7","113.1694","1.1370855693561E10","2.047703794535051","0.4537933693501364","79.48482717892169","110"
"large","200","PSO","7","69.32849999999999","1.1370855693561E10","0.9900891830859547","0.7254368573770769","48.66182340194117","31"
"large","200","ACO","7","120.05760000000004","1.1370855693561E10","2.2896539794713715","0.436747215503225","84.32377853432263","328"
"large","200","RR","7","108.35749999999999","1.1370855693561E10","1.4835232571763137","0.5380518269001532","76.06301061478877","0"
"large","200","IWHOLF","8","85.2155","3.2281802412274498E10","1.505525904874165","0.6642197233288935","59.826860378245044","282"
"large","200","WHO","8","94.28733333333332","3.2281802412274498E10","1.6991611569916556","0.5885256945082761","66.20953368283043","78"
"large","200","WOA","8","132.861","3.2281802412274498E10","1.8016306841938872","0.48710772913044464","93.24664921547054","109"
"large","200","PSO","8","81.4405","3.2281802412274498E10","1.1301013858315263","0.7095428359763672","57.151992218498656","31"
"large","200","ACO","8","132.861","3.2281802412274498E10","1.8016306841938872","0.48710772913044464","93.24664921547054","328"
"large","200","RR","8","102.126","3.2281802412274498E10","1.126615791283054","0.6181244573696544","71.65909345235325","0"
"large","200","IWHOLF","9","86.87066666666668","1.2297829602609333E10","1.5968966973364767","0.6262145833653092","61.00144712652391","266"
"large","200","WHO","9","85.94859999999998","1.2297829602609333E10","1.656085572944291","0.6038335315137964","60.36567421919307","94"
"large","200","WOA","9","118.979","1.2297829602609333E10","1.807370914884596","0.48340957227746056","83.53064567406098","94"
"large","200","PSO","9","72.01400000000001","1.2297829602609333E10","0.9484741255243098","0.7689756968552409","50.526530997219645","31"
"large","200","ACO","9","118.979","1.2297829602609333E10","1.807370914884596","0.48340957227746056","83.53064567406098","313"
"large","200","RR","9","94.6055","1.2297829602609333E10","0.9729592799841729","0.6311157473226539","66.38316323980241","0"
